,Orig_index,Summary Stat,Percent stdev,Standard deviation,Mean,Exp 01,Exp 02,Exp 03,Exp 04,Exp 05,Exp 06,Exp 07,Exp 08,Exp 09,Exp 10,Exp 11,Exp 12,Exp 13,Exp 14,Exp 15,Exp 16,Exp 17,Exp 18,Exp 19,Exp 20,Exp 21
Peak Time Difference for Block 0,1,Peak Time Difference for Block 0,,,,,,,,,,,,,,,,,,,,,,,,
Average Impedance for Frequencies between 1e-3 Hz and 1e-2 Hz for Block 0,2,Average Impedance for Frequencies between 1e-3 Hz and 1e-2 Hz for Block 0,,,,,,,,,,,,,,,,,,,,,,,,
Average Phase for Frequences between 1e-3 Hz and 1e-2 Hz for Block 0,3,Average Phase for Frequences between 1e-3 Hz and 1e-2 Hz for Block 0,,,,,,,,,,,,,,,,,,,,,,,,
Average Impedance for Frequencies between 1e-2 Hz and 1e-1 Hz for Block 0,4,Average Impedance for Frequencies between 1e-2 Hz and 1e-1 Hz for Block 0,,,,,,,,,,,,,,,,,,,,,,,,
Average Phase for Frequences between 1e-2 Hz and 1e-1 Hz for Block 0,5,Average Phase for Frequences between 1e-2 Hz and 1e-1 Hz for Block 0,,,,,,,,,,,,,,,,,,,,,,,,
Average Impedance for Frequencies between 1e-1 Hz and 1 Hz for Block 0,6,Average Impedance for Frequencies between 1e-1 Hz and 1 Hz for Block 0,,,,,,,,,,,,,,,,,,,,,,,,
Average Phase for Frequencies between 1e-1 Hz and 1 Hz for Block 0,7,Average Phase for Frequencies between 1e-1 Hz and 1 Hz for Block 0,,,,,,,,,,,,,,,,,,,,,,,,
Total power for Block 0,8,Total power for Block 0,,,,,,,,,,,,,,,,,,,,,,,,
Final V for Block 1,#N/A,V0 for Block 1,,,,,,,,,,,,,,,,,,,,,,,,
Resistance for Block 2,#N/A,k for Block 1,,,,,,,,,,,,,,,,,,,,,,,,
dV/dt for Block 2,9,Final V for Block 1,,,,,,,,,,,,,,,,,,,,,,,,
dV/dQ for Block 2,10,Resistance for Block 2,0.026347313,0.001271652,0.04826496,0.048391616,0.048588856,0.046117201,0.049109466,0.048782006,0.046385306,0.048898053,0.050295437,0.049242399,0.049430097,0.04854179,0.04635956,0.048542195,0.049654207,0.046783392,0.049164959,0.047719873,0.04624424,0.048079291,0.050115944,0.047118271
V0 for Block 3,11,dV/dt for Block 2,0.026645512,4.59E-06,0.000172384,0.000172708,0.000173542,0.000164861,0.000175556,0.000174167,0.000165764,0.000174514,0.000179861,0.000175764,0.000176875,0.000173403,0.000165278,0.000173125,0.0001775,0.000167361,0.000175625,0.000170278,0.000165139,0.000171458,0.000179167,0.000168125
k for Block 3,12,dV/dQ for Block 2,0.027481876,1.84E-06,6.71E-05,6.72E-05,6.75E-05,6.41E-05,6.83E-05,6.78E-05,6.43E-05,6.79E-05,7.01E-05,6.85E-05,6.88E-05,6.76E-05,6.43E-05,6.74E-05,6.91E-05,6.50E-05,6.84E-05,6.64E-05,6.42E-05,6.68E-05,6.98E-05,6.54E-05
final V for Block 3,13,V0 for Block 3,0.003778745,0.012892715,3.4119038,3.414806809,3.406771477,3.409252742,3.40534726,3.40806919,3.430591724,3.43308797,3.394075504,3.397710782,3.400775252,3.410889071,3.444110753,3.413367552,3.399060589,3.402536203,3.402999068,3.429901439,3.417144342,3.415914504,3.397904433,3.415663132
Resistance for Block 4,14,k for Block 3,0.22238911,0.01967549,0.088473262,0.103744616,0.089181025,0.10305445,0.101176763,0.088977594,0.053606536,0.052989034,0.086284451,0.087954603,0.100272036,0.089122485,0.052857288,0.104111517,0.086189414,0.103518524,0.100352517,0.045142725,0.106386345,0.10733483,0.085867357,0.109814387
dV/dt for Block 4,15,final V for Block 3,0.001438263,0.004974997,3.459031572,3.463309956,3.457255003,3.459480504,3.458067496,3.457279025,3.461974745,3.463607074,3.449535087,3.451641594,3.456029132,3.45909484,3.469576625,3.462257791,3.452412107,3.455845163,3.457122501,3.461267067,3.464122366,3.464393793,3.451854785,3.463536364
dV/dQ for Block 4,16,Resistance for Block 4,0.063029136,0.000188138,0.002984937,0.002838955,0.003039198,0.00295884,0.002939659,0.003039818,0.002919591,0.002818703,0.003338544,0.003357462,0.003019885,0.00302,0.002639398,0.002839807,0.003219961,0.003100045,0.002998956,0.002998944,0.002818831,0.002738811,0.003259237,0.002779027
V0 for Block 5,17,dV/dt for Block 4,0.072073302,0.000121378,0.001684091,0.001635,0.00173,0.001685,0.001675,0.001725,0.00167,0.00161,0.001905,0.00191,0.00172,0.001725,0.00151,0.00163,0.00184,0.001559091,0.00171,0.001705,0.001431818,0.001555,0.001855,0.00158
k for Block 5,18,dV/dQ for Block 4,0.076350972,2.32E-05,0.000304355,0.000292118,0.000313244,0.000303213,0.000303294,0.000314423,0.000299954,0.000290976,0.000345402,0.000344217,0.000311094,0.000314447,0.000271052,0.000293313,0.000333337,0.000279001,0.000311,0.000309897,0.000252896,0.000283208,0.000338812,0.000286559
